Booking reference	Order2: Order Name	len	Date order confirmed	Start date	Cost Currency	Cost	Status	Confirmation	Running balance		Date order authorized
	FT-20180504-240534	0	5/4/2018	7/16/2018	RUB	277.70	Canceled with losses		RB-208		
	FT-20180417-230510	0	4/17/2018	7/14/2018	RUB	555.40	Canceled with losses		RB-208		
	FT-20180428-237836	0	4/29/2018	8/2/2018	RUB	555.40	Canceled with losses		RB-208		
	FT-20180416-230163	0	4/16/2018	7/27/2018	RUB	277.70	Canceled with losses		RB-208		
	FT-20180425-235900	0	4/25/2018	6/22/2018	RUB	0.00	Canceled with losses		RB-208		
	FT-20180212-203757	0	3/31/2018	6/18/2018	RUB	235.20	Canceled with losses		RB-208		
	FT-20171223-188793	0	6/15/2018	6/29/2018	RUB	2777.00	Canceled with losses		RB-208		
	FT-20180131-201290	0	6/8/2018	6/11/2018	RUB	833.10	Canceled with losses		RB-247		
	FT-20180622-269817	0	6/26/2018	6/24/2018	RUB	0.00	Canceled with losses		RB-247		
	FT-20180620-268375	0	6/25/2018	6/27/2018	RUB	0.00	Canceled with losses		RB-247		
	FT-20180619-268201	0	6/20/2018	6/20/2018	RUB	0.00	Request to cancel		RB-247		
	FT-20180606-260227	0	6/6/2018	6/29/2018	RUB	470.40	Canceled with losses		RB-247		
	FT-20180207-202727	0	2/7/2018	3/9/2018	RUB	0.01	Canceled with losses		RB-011		
	FT-20180616-266106	0	6/16/2018	8/5/2018	RUB	1110.80	Canceled with losses				
	FT-20180604-258933	0	6/4/2018	6/21/2018	RUB	555.40	Canceled with losses				
	FT-20180405-225017	0	4/5/2018	6/24/2018	RUB	705.60	Canceled with losses				
	FT-20180402-223360	0	4/2/2018	5/8/2018	RUB	555.40	Canceled with losses				
	FT-20180401-222959	0	4/1/2018	6/27/2018	RUB	235.20	Canceled with losses				
(5795554 5795540)-cancelled, 5975519, 5975513	FT-20180310-211464	45	3/24/2018	6/18/2018	RUB	41168.80	Confirmed		RB-208		
(5954397, 5954178)-cancelled, 6674100, 6674103	FT-20180323-217409	46	3/25/2018	6/18/2018	RUB	10189.20	Confirmed		RB-208		
(5983299,5983280-cancelled), 6275818. 6275821	FT-20171223-188749	45	3/25/2018	6/22/2018	RUB	15315.60	Confirmed		RB-208		
(6279621. 6279298 -cancelled), 6280817	FT-20180330-222158	38	3/31/2018	6/27/2018	RUB	2948.80	Confirmed		RB-208		
(7019574, 10128037) -cancelled, 10128144	FT-20180415-229377	40	6/15/2018	6/20/2018	RUB	4354.80	Modified				
(9439699,9439859-cancelled), 9577012	FT-20171201-182940	36	6/1/2018	7/26/2018	RUB	1666.20	Canceled with losses				
(canceled 7150352 / 7110574 / 7110613 ) 7150697 / 7150849	FT-20180330-222425	57	4/17/2018	7/15/2018	RUB	26295.80	Confirmed		RB-208		
10002232, 10002172	FT-20180601-257760	18	6/8/2018	6/10/2018	RUB	33759.00	Confirmed		RB-247		
10005178,10005159-cancelled, 10005349	FT-20180608-261689	37	6/11/2018	6/24/2018	RUB	43638.80	Confirmed		RB-247		
10005616,10005573	FT-20180608-261748	17	6/9/2018	6/18/2018	RUB	34491.70	Confirmed		RB-247		
10005705,10005655	FT-20180608-261750	17	6/9/2018	6/19/2018	RUB	19993.40	Confirmed		RB-247		
10005997,10005986	FT-20180606-260099	17	6/9/2018	6/29/2018	RUB	26580.00	Confirmed		RB-247		
10006167,10006055	FT-20180608-261455	17	6/9/2018	6/23/2018	RUB	20233.50	Confirmed		RB-247		
10006230,10006218	FT-20180608-261707	17	6/9/2018	6/22/2018	RUB	11096.00	Confirmed		RB-247		
10006283,10006273	FT-20180608-261727	17	6/9/2018	6/26/2018	RUB	9015.50	Confirmed		RB-247		
10008060 10008063	FT-20180608-261605	17	6/11/2018	6/21/2018	RUB	17231.00	Confirmed		RB-247		
10008490-cancelled, 10140156	FT-20180608-261754	28	6/9/2018	6/15/2018	RUB	2808.40	Confirmed		RB-247		
10008699, 10139286-cancelled	FT-20180607-261092	28	6/11/2018	6/18/2018	RUB	555.40	Canceled with losses		RB-247		
10009664 10009665	FT-20180607-261040	17	6/11/2018	6/16/2018	RUB	5122.60	Confirmed		RB-247		
10009718 10009719	FT-20180607-261112	17	6/11/2018	6/14/2018	RUB	12586.00	Confirmed		RB-247		
10010334-cancelled, 10071968	FT-20180604-259194	28	6/10/2018	6/21/2018	RUB	15807.80	Confirmed		RB-247		
10021691,10021622,10021657	FT-20180608-261442	26	6/12/2018	7/1/2018	RUB	34998.50	Modified		RB-247		
10021932,10021855	FT-20171221-188560	17	6/11/2018	6/21/2018	RUB	57355.80	Confirmed		RB-011		
10024943,10024912	FT-20180608-261372	17	6/9/2018	8/6/2018	RUB	18799.20	Confirmed		RB-247		
10025005,10024980	FT-20180608-261401	17	6/9/2018	8/6/2018	RUB	18799.20	Confirmed		RB-247		
10029899,10029867	FT-20180608-261409	17	6/9/2018	8/6/2018	RUB	11964.10	Confirmed		RB-247		
10036894,10036857	FT-20180608-261886	17	6/9/2018	8/13/2018	RUB	25701.00	Confirmed		RB-247		
10038415,10038356,10038384, 10144255	FT-20180608-261849	36	6/9/2018	6/27/2018	RUB	95730.40	Confirmed		RB-247		
10038512,10038465	FT-20180608-261830	17	6/9/2018	6/21/2018	RUB	53383.40	Confirmed		RB-247		
10039623,10039572	FT-20180608-261890	17	6/9/2018	8/16/2018	RUB	45696.40	Confirmed		RB-247		
10046036,10045990	FT-20180609-261986	17	6/9/2018	6/15/2018	RUB	1388.50	Canceled with losses		RB-247		
10055602,10055434	FT-20180601-257761	17	6/9/2018	6/13/2018	RUB	16529.00	Modified		RB-247		
10072174-cancelled, 11264168	FT-20180608-261495	28	6/29/2018	6/30/2018	RUB	9837.00	Modified		RB-247		
10084918, 10084962	FT-20180604-259348	18	6/10/2018	6/20/2018	RUB	10888.40	Confirmed		RB-247		
10089082,10089060	FT-20180609-262112	17	6/10/2018	6/13/2018	RUB	15694.30	Confirmed		RB-247		
10094732,10094722,10094312	FT-20180609-262312	26	6/11/2018	6/21/2018	RUB	55654.40	Confirmed		RB-247		
10094732 10094732 10094732	FT-20180609-262312	26	6/11/2018	6/21/2018	RUB	55654.40	Confirmed		RB-247		
10094732/10094722,10094312	FT-20180609-262312	26	6/11/2018	6/21/2018	RUB	55654.40	Confirmed		RB-247		
10094732,10094722,10094312,.	FT-20180609-262312	26	6/11/2018	6/21/2018	RUB	55654.40	Confirmed		RB-247		
10094732 / 10094722 10094312..	FT-20180609-262312	26	6/11/2018	6/21/2018	RUB	55654.40	Confirmed		RB-247		
